iso3,country,year_atlas,psychiatrists_per_100k
MHL,Marshall Islands,2017,0
BDI,Burundi,2017,0.01
CAF,Central African Republic,2017,0.022
SLE,Sierra Leone,2017,0.041
SWZ,Eswatini,2017,0.076
ETH,Ethiopia,2017,0.076
COM,Comoros,2017,0.13
IRQ,Iraq,2017,0.34
LKA,Sri Lanka,2017,0.52
GNQ,Equatorial Guinea,2017,0.68
NIC,Nicaragua,2017,0.69
MKD,North Macedonia,2017,14.43
CAN,Canada,2017,14.68
IRN,Iran (Islamic Republic of),2017,2.02
MUS,Mauritius,2017,2.38
MDV,Maldives,2017,2.39
FRA,France,2017,20.91
FIN,Finland,2017,23.59
BHR,Bahrain,2017,5.47
KNA,Saint Kitts and Nevis,2017,5.53
SRB,Serbia,2017,8.64
TCD,Chad,2016,0.007
NER,Niger,2016,0.014
GIN,Guinea,2016,0.025
SSD,South Sudan,2016,0.025
MLI,Mali,2016,0.029
BFA,Burkina Faso,2016,0.039
LBR,Liberia,2016,0.044
MOZ,Mozambique,2016,0.046
TGO,Togo,2016,0.054
ZMB,Zambia,2016,0.056
AGO,Angola,2016,0.057
GHA,Ghana,2016,0.058
MDG,Madagascar,2016,0.058
RWA,Rwanda,2016,0.06
HTI,Haiti,2016,0.075
COG,Congo,2016,0.08
TLS,Timor-Leste,2016,0.081
UGA,Uganda,2016,0.082
ZWE,Zimbabwe,2016,0.095
GMB,Gambia,2016,0.1
BGD,Bangladesh,2016,0.13
CIV,Cote d'Ivoire,2016,0.13
KEN,Kenya,2016,0.18
SEN,Senegal,2016,0.2
YEM,Yemen,2016,0.2
MEX,Mexico,2016,0.21
FJI,Fiji,2016,0.22
AFG,Afghanistan,2016,0.23
GAB,Gabon,2016,0.26
IND,India,2016,0.29
IDN,Indonesia,2016,0.31
NPL,Nepal,2016,0.36
SYR,Syrian Arab Republic,2016,0.37
NAM,Namibia,2016,0.37
VUT,Vanuatu,2016,0.38
MMR,Myanmar,2016,0.38
KHM,Cambodia,2016,0.39
ECU,Ecuador,2016,0.46
GTM,Guatemala,2016,0.49
BTN,Bhutan,2016,0.51
STP,Sao Tome and Principe,2016,0.51
PHL,Philippines,2016,0.52
LCA,Saint Lucia,2016,0.56
THA,Thailand,2016,0.72
MAR,Morocco,2016,0.84
SLV,El Salvador,2016,0.89
GUY,Guyana,2016,0.91
ATG,Antigua and Barbuda,2016,1
MYS,Malaysia,2016,1.05
JOR,Jordan,2016,1.12
BOL,Bolivia (Plurinational State of),2016,1.13
BRN,Brunei Darussalam,2016,1.2
SUR,Suriname,2016,1.27
SAU,Saudi Arabia,2016,1.32
BLZ,Belize,2016,1.39
TJK,Tajikistan,2016,1.39
ALB,Albania,2016,1.47
ZAF,South Africa,2016,1.52
WSM,Samoa,2016,1.55
EGY,Egypt,2016,1.6
TUR,Türkiye,2016,1.64
ARE,United Arab Emirates,2016,1.65
KGZ,Kyrgyzstan,2016,1.69
COL,Colombia,2016,1.84
GRD,Grenada,2016,1.87
USA,United States of America,2016,10.54
HUN,Hungary,2016,11.08
HRV,Croatia,2016,11.1
JPN,Japan,2016,11.87
SVN,Slovenia,2016,11.95
BLR,Belarus,2016,13.5
URY,Uruguay,2016,14.13
EST,Estonia,2016,16.19
LTU,Lithuania,2016,18.45
SYC,Seychelles,2016,2.13
DOM,Dominican Republic,2016,2.28
UZB,Uzbekistan,2016,2.61
QAT,Qatar,2016,2.71
TON,Tonga,2016,2.82
PER,Peru,2016,2.95
SWE,Sweden,2016,20.86
ARG,Argentina,2016,21.71
POL,Poland,2016,24.18
NZL,New Zealand,2016,28.54
BRA,Brazil,2016,3.16
AZE,Azerbaijan,2016,3.45
ARM,Armenia,2016,3.84
CRI,Costa Rica,2016,3.93
MCO,Monaco,2016,31.33
MNG,Mongolia,2016,4.03
PAN,Panama,2016,4.03
SGP,Singapore,2016,4.19
NOR,Norway,2016,48.04
ROU,Romania,2016,5.66
COK,Cook Islands,2016,5.73
KOR,Republic of Korea,2016,5.79
GRC,Greece,2016,5.8
GEO,Georgia,2016,6.71
UKR,Ukraine,2016,6.93
CHL,Chile,2016,6.97
BGR,Bulgaria,2016,7.2
MNE,Montenegro,2016,8.28
CUB,Cuba,2016,9.06
ISR,Israel,2016,9.87
TZA,United Republic of Tanzania,2015,0.056
SDN,Sudan,2015,0.08
JAM,Jamaica,2015,1.15
LBN,Lebanon,2015,1.21
OMN,Oman,2015,1.74
CZE,Czechia,2015,12.36
DEU,Germany,2015,13.2
AUS,Australia,2015,13.53
LUX,Luxembourg,2015,17.82
CHN,China,2015,2.2
NLD,Netherlands (Kingdom of the),2015,20.87
MDA,Republic of Moldova,2015,4.55
CHE,Switzerland,2015,43.96
ITA,Italy,2015,5.98
BIH,Bosnia and Herzegovina,2015,8.03
RUS,Russian Federation,2015,8.48
ESP,Spain,2015,9.69
LVA,Latvia,2015,9.99
HND,Honduras,2014,0.66
MRT,Mauritania,2013,0.072
BEL,Belgium,2013,20.06
